sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);TEMPERATURE (F);RELATIVE HUMIDITY (%);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;GPS NMEA;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
9.7905;-2.2152;0.8757;9.5746;-1.9363;0.8645;0.2158;-0.2789;0.0112;0.0463;0.0105;0.0832;0.0;-13.18;-29.81;30.34;135.35;11.39;-84.84;3.1;996.57;81.6;23.4;68.839;39.70251;-78.360504;670.97;750.2603918884273;;123.3;32.258064;277.3;15 / 20;"$GPRMC,181811,A,3942.150620,N,07821.630263,W,66.6,277.3,150117,0.0,E,D*3A::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,181811,3942.150620,N,07821.630263,W,2,12,0.9,250.0,M,-42.0,M,,*77::$GPGSV,3,3,20,01,05,326,,11,07,307,,21,04,180,*45::$GPVTG,277.3,T,277.3,M,66.6,N,123.3,K,D*13::$GLGSV,3,3,20,81,11,317,*5B";5600008;2017-01-15 13:18:10:739
9.3697;-1.9489;0.5195;9.628;-1.7994;0.4845;-0.5893;0.3252;-0.1798;0.053;-0.0402;0.0606;0.0;-12.64;-27.09;29.84;133.1;10.57;-87.12;3.1;994.18;81.5;23.4;71.415;39.702625;-78.364105;716.13;835.9497565199875;;122.4;29.032257;267.4;15 / 20;"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,20,01,05,326,,11,07,307,,21,04,180,*45::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,20,81,11,317,*5B";5610008;2017-01-15 13:18:20:739
9.4314;-1.6849;0.4645;9.6065;-1.8323;0.7266;-0.1751;0.1474;-0.2622;0.0365;-0.0347;0.0783;0.0;-11.6;-26.01;31.83;129.79;10.76;-85.67;3.1;992.2;81.7;23.4;71.623;39.702183;-78.36804;777.42;835.9497565199875;;122.4;29.032257;260.4;15 / 20;"$GPRMC,181830,A,3942.130988,N,07822.082281,W,66.1,260.4,150117,0.0,E,D*34::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.8*3E::$GPGGA,181830,3942.130988,N,07822.082281,W,2,12,0.8,283.0,M,-42.0,M,,*70::$GPGSV,3,3,20,32,62,310,26,01,05,326,,11,07,307,*48::$GPVTG,260.4,T,260.4,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,81,11,317,*5B";5620007;2017-01-15 13:18:30:738
9.6121;-1.8256;0.5878;9.6099;-1.8188;0.716;0.0022;-0.0068;-0.1282;0.035;-0.0377;0.0645;0.0;-11.6;-25.97;32.35;129.8;10.69;-85.74;3.1;989.84;81.7;23.4;71.402;39.70166;-78.37193;854.84;964.2811786310617;;122.4;29.032257;260.3;15 / 20;"$GPRMC,181840,A,3942.099560,N,07822.316138,W,66.1,260.3,150117,0.0,E,D*33::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.0,0.7,0.7*3F::$GPGGA,181840,3942.099560,N,07822.316138,W,2,12,0.7,307.0,M,-42.0,M,,*72::$GPGSV,3,3,20,25,25,130,30,31,26,213,29,32,62,310,27*45::$GPVTG,260.3,T,260.3,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,66,00,000,*57";5630007;2017-01-15 13:18:40:738
9.9084;-1.1935;0.8458;9.6761;-1.4383;0.6891;0.2323;0.2448;0.1567;0.0325;-0.0448;0.0651;0.0;-11.96;-27.31;31.56;130.64;8.43;-85.93;3.1;988.22;81.9;23.3;71.453;39.701088;-78.37624;906.45;964.2811786310617;;123.3;29.032257;260.6;15 / 20;"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.0,0.7,0.7*3F::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,20,25,25,130,32,31,26,213,28,32,62,310,31*41::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,20,66,00,000,*57";5640007;2017-01-15 13:18:50:738
9.6552;-1.2701;0.5698;9.6725;-1.4717;0.6688;-0.0173;0.2015;-0.0989;0.0432;-0.0203;0.0581;0.0;-10.83;-29.32;30.96;133.43;8.62;-86.04;3.1;987.44;81.6;23.5;71.179;39.700623;-78.37977;922.58;1051.6420514672625;;122.4;32.258064;260.2;15 / 20;"$GPRMC,181900,A,3942.037361,N,07822.785906,W,66.1,260.2,150117,0.0,E,D*3F::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,181900,3942.037361,N,07822.785906,W,2,12,0.8,328.0,M,-42.0,M,,*7D::$GPGSV,3,3,20,25,25,130,30,31,26,213,20,32,62,310,36*4C::$GPVTG,260.2,T,260.2,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,66,00,000,*57";5650007;2017-01-15 13:19:00:738
9.593;-1.1959;0.7805;9.6783;-1.4624;0.6021;-0.0853;0.2665;0.1784;0.0442;-0.0341;0.0688;0.0;-11.95;-24.46;30.24;129.44;8.58;-86.46;3.1;986.71;81.9;23.3;71.307;39.69986;-78.38361;929.03;1051.6420514672625;;121.5;32.258064;251.8;15 / 20;"$GPRMC,181910,A,3941.991616,N,07823.016818,W,65.6,251.8,150117,0.0,E,D*33::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.7*31::$GPGGA,181910,3941.991616,N,07823.016818,W,2,12,0.8,330.0,M,-42.0,M,,*74::$GPGSV,3,3,20,25,25,130,15,31,26,213,30,32,62,310,33*4F::$GPVTG,251.8,T,251.8,M,65.6,N,121.5,K,D*14::$GLGSV,3,3,20,66,00,000,*57";5660007;2017-01-15 13:19:10:738
9.7079;-1.3551;0.8523;9.6732;-1.467;0.6691;0.0346;0.1116;0.1836;0.0448;-0.0267;0.0725;0.0;-11.42;-22.5;29.68;127.88;8.6;-86.06;3.1;985.99;81.9;23.4;70.996;39.69851;-78.38763;961.29;1093.3017496933146;;122.4;29.032257;242.7;14 / 19;"$GPRMC,181921,A,3941.910444,N,07823.257436,W,66.1,242.7,150117,0.0,E,D*33::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.7*31::$GPGGA,181921,3941.910444,N,07823.257436,W,2,12,0.8,340.0,M,-42.0,M,,*7A::$GPGSV,3,3,19,25,25,130,22,31,26,213,23,32,62,310,28*49::$GPVTG,242.7,T,242.7,M,66.1,N,122.4,K,D*12::$GLGSV,2,2,19,71,13,109,18,72,56,074,25,66,00,000,,73,04,025,*6D";5670007;2017-01-15 13:19:20:738
9.3984;-1.5018;0.7643;9.6669;-1.4653;0.758;-0.2685;-0.0365;0.0063;0.0365;-0.0316;0.0679;0.0;-10.88;-20.33;28.17;126.24;8.59;-85.52;3.1;985.29;81.9;23.2;71.858;39.6971;-78.39073;977.42;1093.3017496933146;;122.4;35.48387;237.5;15 / 20;"$GPRMC,181931,A,3941.815553,N,07823.463206,W,66.1,236.7,150117,0.0,E,D*36::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.7*31::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,20,32,62,312,24,01,05,326,,11,07,307,*48::$GPVTG,236.7,T,236.7,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,73,04,025,*50";5680007;2017-01-15 13:19:30:738
9.2721;-1.3318;0.6027;9.6747;-1.4456;0.6937;-0.4025;0.1139;-0.0909;0.0393;-0.0396;0.0569;0.0;-10.96;-19.23;27.65;125.0;8.48;-85.87;3.1;984.48;82.0;23.2;71.546;39.69509;-78.39421;993.55;1134.4596300052185;;122.4;35.48387;230.3;15 / 20;"$GPRMC,181941,A,3941.705452,N,07823.652372,W,66.1,230.3,150117,0.0,E,D*3F::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,181941,3941.705452,N,07823.652372,W,2,12,0.9,350.0,M,-42.0,M,,*77::$GPGSV,3,3,20,01,05,326,,11,07,307,,14,41,282,*43::$GPVTG,230.3,T,230.3,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,73,04,025,*50";5690007;2017-01-15 13:19:40:738
9.329;-1.482;0.6734;9.6516;-1.4483;0.9593;-0.3226;-0.0337;-0.2859;0.0371;-0.0335;0.048;0.0;-10.24;-17.78;25.67;123.69;8.52;-84.34;3.1;983.87;82.0;23.3;70.771;39.693207;-78.396805;1016.13;1134.4596300052185;;122.4;35.48387;224.5;15 / 20;"$GPRMC,181951,A,3941.580966,N,07823.826152,W,66.1,224.6,150117,0.0,E,D*36::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,181951,3941.580966,N,07823.826152,W,2,12,0.9,358.0,M,-42.0,M,,*76::$GPGSV,3,3,20,11,07,307,,21,03,180,,32,62,312,*44::$GPVTG,224.6,T,224.6,M,66.1,N,122.4,K,D*12::$GLGSV,3,2,20,71,13,109,13,72,56,074,29,66,00,000,,73,04,025,*61";5700008;2017-01-15 13:19:50:739
9.5972;-1.23;0.9098;9.6882;-1.4082;0.5703;-0.0911;0.1782;0.3395;0.0426;-0.0188;0.0667;0.0;-9.91;-16.56;25.17;124.21;8.27;-86.67;3.1;983.13;82.1;23.3;71.366;39.6907;-78.3997;1035.48;1175.5276996214477;;123.3;32.258064;218.9;15 / 20;"$GPRMC,182001,A,3941.441935,N,07823.981889,W,66.6,218.9,150117,0.0,E,D*37::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182001,3941.441935,N,07823.981889,W,2,12,0.9,363.0,M,-42.0,M,,*78::$GPGSV,3,3,20,01,05,326,,11,07,307,,21,03,180,*42::$GPVTG,218.9,T,218.9,M,66.6,N,123.3,K,D*13::$GLGSV,3,3,20,81,11,317,*5B";5710007;2017-01-15 13:20:00:738
9.912;-1.0971;0.5219;9.7371;-0.9674;0.6512;0.1749;-0.1298;-0.1293;0.0445;-0.0319;0.0847;0.0;-11.12;-17.17;23.73;125.86;5.62;-86.18;3.1;983.49;82.0;23.3;71.063;39.688457;-78.40179;1038.71;1175.5276996214477;;122.4;35.48387;212.8;15 / 20;"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,20,11,07,307,,14,41,282,,21,03,180,*49::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,20,81,11,316,*5A";5720008;2017-01-15 13:20:10:739
9.4218;-1.0331;1.0858;9.7204;-0.9823;0.8482;-0.2986;-0.0508;0.2375;0.0292;-0.0484;0.0499;0.0;-10.43;-16.27;23.22;125.1;5.74;-85.02;3.1;984.56;82.1;23.2;71.335;39.685513;-78.40398;1009.68;1134.8114630110026;;121.5;35.48387;208.8;15 / 20;"$GPRMC,182021,A,3941.130730,N,07824.238358,W,65.6,208.8,150117,0.0,E,D*37::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182021,3941.130730,N,07824.238358,W,2,12,0.9,355.0,M,-42.0,M,,*7E::$GPGSV,3,3,20,01,05,326,,11,07,307,,21,03,180,*42::$GPVTG,208.8,T,208.8,M,65.6,N,121.5,K,D*14::$GLGSV,3,3,20,81,11,316,*5A";5730007;2017-01-15 13:20:20:738
10.3459;-1.151;0.8458;9.7146;-1.045;0.8393;0.6313;-0.1061;0.0064;0.0338;-0.0304;0.0645;0.0;-10.91;-16.11;23.28;125.25;6.11;-85.04;3.1;985.78;82.1;23.2;71.024;39.68308;-78.40566;993.55;1134.8114630110026;;121.5;35.48387;209.0;15 / 20;"$GPRMC,182030,A,3940.984705,N,07824.339695,W,65.6,209.0,150117,0.0,E,D*3A::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182030,3940.984705,N,07824.339695,W,2,12,0.9,350.0,M,-42.0,M,,*7F::$GPGSV,3,3,20,32,62,312,18,01,05,326,,11,07,307,*47::$GPVTG,209.0,T,209.0,M,65.6,N,121.5,K,D*14::$GLGSV,3,3,20,81,11,316,*5A";5740007;2017-01-15 13:20:30:738
9.6187;-1.1791;0.9864;9.6887;-1.2585;0.846;-0.07;0.0793;0.1404;0.0261;-0.0258;0.0636;0.0;-10.03;-15.77;23.63;124.26;7.37;-85.01;3.1;986.03;82.3;23.2;71.089;39.68045;-78.40761;983.87;1134.8114630110026;;122.4;38.709675;208.6;15 / 20;"$GPRMC,182041,A,3940.810306,N,07824.468034,W,66.6,208.6,150117,0.0,E,D*3D::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182041,3940.810306,N,07824.468034,W,2,12,0.9,347.0,M,-42.0,M,,*7A::$GPGSV,3,3,20,01,05,326,,11,07,307,,21,03,180,*42::$GPVTG,208.6,T,208.6,M,66.6,N,123.3,K,D*13::$GLGSV,3,3,20,81,11,316,*5A";5750008;2017-01-15 13:20:40:739
10.0012;-0.9996;0.6704;9.7007;-1.2234;0.7555;0.3005;0.2238;-0.0851;0.0319;-0.0341;0.0587;0.0;-9.83;-15.82;23.64;124.36;7.21;-85.55;3.1;986.42;82.0;23.2;71.68;39.677734;-78.40954;967.74;1099.2066207652824;;122.4;35.48387;209.3;15 / 20;"$GPRMC,182050,A,3940.664243,N,07824.571952,W,66.1,209.3,150117,0.0,E,D*33::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.9*3D::$GPGGA,182050,3940.664243,N,07824.571952,W,2,12,0.9,342.0,M,-42.0,M,,*72::$GPGSV,3,1,20,10,82,137,23,12,27,084,30,14,41,282,24,18,49,137,33*70::$GPVTG,209.3,T,209.3,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,81,11,316,*5A";5760009;2017-01-15 13:20:50:740
9.4092;-0.9607;1.2707;9.7125;-1.1062;0.7835;-0.3033;0.1455;0.4872;0.0277;-0.0417;0.048;0.0;-10.1;-16.12;23.43;124.2;6.5;-85.39;3.1;986.59;82.2;23.3;71.36;39.675007;-78.411385;954.84;1099.2066207652824;;123.3;35.48387;208.5;15 / 20;"$GPRMC,182100,A,3940.500385,N,07824.683164,W,66.6,208.5,150117,0.0,E,D*3E::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182100,3940.500385,N,07824.683164,W,2,12,0.9,338.0,M,-42.0,M,,*72::$GPGSV,3,3,20,32,62,312,18,01,06,324,,11,07,306,*47::$GPVTG,208.5,T,208.5,M,66.6,N,123.3,K,D*13::$GLGSV,3,3,20,81,11,316,*5A";5770008;2017-01-15 13:21:00:739
9.894;-1.2617;0.808;9.7178;-1.0424;0.8056;0.1763;-0.2194;0.0025;0.0274;-0.0377;0.0602;0.0;-10.15;-16.72;24.39;125.66;6.1;-85.26;3.1;987.57;82.2;23.3;71.18;39.672073;-78.41348;954.84;1083.1412385230153;;122.4;35.48387;208.6;15 / 20;"$GPRMC,182111,A,3940.324344,N,07824.808746,W,66.1,208.6,150117,0.0,E,D*3C::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182111,3940.324344,N,07824.808746,W,2,12,0.9,338.0,M,-42.0,M,,*74::$GPGSV,3,3,20,32,63,314,21,01,06,324,,11,07,306,*4A::$GPVTG,208.6,T,208.6,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,81,11,316,*5A";5780008;2017-01-15 13:21:10:739
9.7157;-0.9164;0.9008;9.7249;-1.0199;0.746;-0.0092;0.1036;0.1548;0.0362;-0.0457;0.0624;0.0;-10.55;-16.62;24.16;125.79;5.97;-85.61;3.1;988.6;82.2;23.3;70.975;39.66936;-78.415344;945.16;1083.1412385230153;;122.4;35.48387;209.1;15 / 20;"$GPRMC,182121,A,3940.161530,N,07824.920710,W,66.1,209.1,150117,0.0,E,D*37::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182121,3940.161530,N,07824.920710,W,2,12,0.9,335.0,M,-42.0,M,,*74::$GPGSV,3,3,20,32,63,314,18,01,06,324,,11,07,306,*40::$GPVTG,209.1,T,209.1,M,66.1,N,122.4,K,D*12::$GLGSV,3,2,20,65,50,334,20,71,12,111,12,72,56,075,25,66,01,305,*65";5790012;2017-01-15 13:21:20:743
10.1347;-0.8284;0.5884;9.7243;-0.8257;0.9624;0.4103;-0.0027;-0.374;0.0264;-0.0377;0.0709;0.0;-9.2;-16.79;26.23;123.15;4.83;-84.35;3.1;989.77;82.2;23.3;71.809;39.666897;-78.41706;912.9;1021.7055888233338;;123.3;32.258064;208.9;15 / 20;"$GPRMC,182130,A,3940.013808,N,07825.023829,W,66.6,208.9,150117,0.0,E,D*35::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182130,3940.013808,N,07825.023829,W,2,12,0.9,325.0,M,-42.0,M,,*79::$GPGSV,3,3,20,01,06,324,,11,07,306,,21,03,180,*42::$GPVTG,208.9,T,208.9,M,66.6,N,123.3,K,D*13::$GLGSV,3,3,20,81,11,316,*5A";5800007;2017-01-15 13:21:30:738
9.8683;-0.9529;2.7444;9.3779;-1.1337;2.6343;0.4904;0.1808;0.11;-0.0298;-0.0182;0.0581;0.0;-10.11;-24.7;32.95;125.85;6.64;-74.31;3.1;991.38;82.2;23.3;71.311;39.66455;-78.42005;854.84;1021.7055888233338;;122.4;29.032257;242.8;15 / 20;"$GPRMC,182141,A,3939.873257,N,07825.202659,W,66.1,242.8,150117,0.0,E,D*33::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182141,3939.873257,N,07825.202659,W,2,12,0.9,307.0,M,-42.0,M,,*77::$GPGSV,3,3,20,32,63,314,30,01,06,324,,11,07,306,*4A::$GPVTG,242.8,T,242.8,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,81,11,316,*5A";5810007;2017-01-15 13:21:40:738
9.3799;-1.2935;2.636;9.3956;-1.0584;2.6026;-0.0157;-0.235;0.0334;-0.0411;-0.0139;0.0667;0.0;-11.37;-35.25;32.0;136.03;6.2;-74.52;3.1;991.9;82.2;23.4;70.852;39.6643;-78.42391;838.71;943.7149541903524;;122.4;32.258064;282.1;15 / 20;"$GPRMC,182151,A,3939.858076,N,07825.434775,W,66.1,282.1,150117,0.0,E,D*33::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182151,3939.858076,N,07825.434775,W,2,12,0.9,302.0,M,-42.0,M,,*77::$GPGSV,3,3,20,01,06,324,,11,07,306,,21,03,180,*42::$GPVTG,282.1,T,282.1,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,81,11,316,*5A";5820009;2017-01-15 13:21:50:740
8.9082;-0.7991;0.814;9.7695;-0.6782;0.5171;-0.8613;-0.1209;0.2969;0.0304;-0.0328;0.0465;0.0;-13.59;-41.59;26.3;148.02;3.97;-86.97;3.1;992.78;82.2;23.4;71.446;39.66563;-78.426994;812.9;943.7149541903524;;123.3;32.258064;306.6;15 / 20;"$GPRMC,182201,A,3939.949091,N,07825.638771,W,66.6,306.0,150117,0.0,E,D*3C::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.3,1.0,0.8*35::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,20,01,06,324,,11,07,306,,21,03,180,*42::$GPVTG,306.0,T,306.0,M,66.6,N,123.3,K,D*13::$GLGSV,3,3,20,81,11,316,*5A";5830007;2017-01-15 13:22:00:738
10.2813;-1.2186;0.8859;9.7263;-0.8574;0.9135;0.74;-0.0966;-0.0965;0.0497;-0.0112;0.0804;0.0;-14.06;-41.17;24.8;147.96;4.98;-84.64;3.1;994.75;82.2;23.4;71.271;39.667496;-78.43019;764.52;943.7149541903524;;121.5;32.258064;307.4;15 / 20;"$GPRMC,182210,A,3940.049869,N,07825.811441,W,65.6,307.4,150117,0.0,E,D*37::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.7*31::$GPGGA,182210,3940.049869,N,07825.811441,W,2,12,0.8,279.0,M,-42.0,M,,*72::$GPGSV,3,2,20,18,48,137,28,24,22,046,18,25,26,129,20,31,27,215,22*77::$GPVTG,307.4,T,307.4,M,65.6,N,121.5,K,D*14::$GLGSV,3,1,20,74,56,050,28,66,02,306,13,76,07,195,20,75,54,170,26*67";5840007;2017-01-15 13:22:10:738
9.4816;-1.5149;-1.0959;9.5059;-1.7147;-1.6935;0.1068;0.1261;0.6598;0.0894;-0.0536;0.0731;0.0;-12.51;-27.68;29.69;138.44;10.08;-100.14;3.1;994.95;82.2;23.4;71.531;39.668633;-78.43372;738.71;860.2934320819243;;121.5;32.258064;271.7;15 / 20;"$GPRMC,182220,A,3940.117883,N,07826.023324,W,65.6,271.7,150117,0.0,E,D*37::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182220,3940.117883,N,07826.023324,W,2,12,0.9,271.0,M,-42.0,M,,*78::$GPGSV,3,1,20,10,82,139,25,11,07,306,14,12,27,082,21,14,42,282,30*7E::$GPVTG,271.7,T,271.7,M,65.6,N,121.5,K,D*14::$GLGSV,3,3,20,73,02,025,*56";5850018;2017-01-15 13:22:20:749
9.6492;-1.8938;0.6572;9.5949;-1.762;1.0014;0.0543;-0.1319;-0.3442;0.0304;-0.0301;0.0627;0.0;-11.89;-26.14;30.49;131.15;10.35;-84.04;3.1;992.8;82.2;23.5;70.72;39.668114;-78.43803;790.32;860.2934320819243;;122.4;32.258064;261.1;15 / 20;"$GPRMC,182231,A,3940.086585,N,07826.281607,W,66.1,261.1,150117,0.0,E,D*38::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182231,3940.086585,N,07826.281607,W,2,12,0.9,287.0,M,-42.0,M,,*7D::$GPGSV,3,3,20,32,63,314,33,01,06,324,,21,03,180,*42::$GPVTG,261.1,T,261.1,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,73,02,025,*56";5860008;2017-01-15 13:22:30:739
9.2937;-1.2318;0.9996;9.6867;-1.3038;0.7988;-0.393;0.072;0.2008;0.0307;-0.0515;0.0502;0.0;-11.4;-27.63;31.78;132.23;7.65;-85.26;3.1;991.53;82.2;23.3;70.388;39.667664;-78.441574;822.58;924.9516500279738;;124.2;32.258064;260.5;15 / 20;"$GPRMC,182240,A,3940.059901,N,07826.494442,W,67.1,260.5,150117,0.0,E,D*39::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.7*31::$GPGGA,182240,3940.059901,N,07826.494442,W,2,12,0.8,297.0,M,-42.0,M,,*78::$GPGSV,3,3,20,32,63,314,35,01,06,324,,21,03,180,*44::$GPVTG,260.5,T,260.5,M,67.1,N,124.2,K,D*13::$GLGSV,3,3,20,76,07,195,*5C";5870007;2017-01-15 13:22:40:738
9.8348;-1.3096;1.5006;9.5492;-1.3366;1.7878;0.2855;0.0269;-0.2872;0.0054;-0.0127;0.07;0.0;-11.96;-31.51;32.11;134.0;7.83;-79.4;3.1;991.47;82.2;23.3;70.95;39.66733;-78.44556;822.58;924.9516500279738;;122.4;32.258064;271.1;15 / 20;"$GPRMC,182250,A,3940.039880,N,07826.733766,W,66.1,271.1,150117,0.0,E,D*38::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.7*31::$GPGGA,182250,3940.039880,N,07826.733766,W,2,12,0.8,297.0,M,-42.0,M,,*7C::$GPGSV,3,3,20,31,28,215,29,32,63,316,19,21,02,180,*4E::$GPVTG,271.1,T,271.1,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,76,07,195,*5C";5880007;2017-01-15 13:22:50:738
8.8137;-0.8314;1.5401;9.5635;-1.0501;1.8994;-0.7498;0.1877;-0.1841;-0.0096;-0.0225;0.0471;0.0;-12.92;-37.46;29.31;140.48;6.15;-78.77;3.1;991.35;82.2;23.4;71.224;39.668;-78.44943;829.03;954.1551100461163;;123.3;32.258064;290.0;15 / 20;"$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E::$GPGGA,,,,,,0,,,,,,,,*66::$GPGSV,3,3,20,31,28,215,27,32,63,316,28,21,02,180,*42::$GPVTG,,T,,M,,N,,K,N*2C::$GLGSV,3,3,20,73,02,025,*56";5890008;2017-01-15 13:23:00:739
9.8707;-0.3184;1.9106;9.619;-0.5136;1.8391;0.2517;0.1952;0.0715;-0.0053;-0.0142;0.0389;0.0;-12.95;-43.88;25.35;148.68;3.0;-79.18;3.1;993.18;82.2;23.3;71.441;39.669632;-78.45278;780.65;954.1551100461163;;124.2;29.032257;310.1;15 / 20;"$GPRMC,182310,A,3940.177833,N,07827.167046,W,67.1,310.1,150117,0.0,E,D*3A::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.1,0.8,0.7*31::$GPGGA,182310,3940.177833,N,07827.167046,W,2,12,0.8,284.0,M,-42.0,M,,*7B::$GPGSV,3,3,20,31,28,215,27,32,63,316,19,21,02,180,*40::$GPVTG,310.1,T,310.1,M,67.1,N,124.2,K,D*13::$GLGSV,3,3,20,73,02,025,*56";5900007;2017-01-15 13:23:10:738
9.5223;-1.1343;1.9549;9.6217;-0.67;1.7732;-0.0994;-0.4643;0.1817;-0.0056;-0.0295;0.0602;0.0;-14.02;-45.83;20.09;154.51;3.92;-79.56;3.1;995.72;82.3;23.3;71.605;39.67227;-78.45544;741.94;868.6403103754515;;122.4;32.258064;332.2;15 / 20;"$GPRMC,182321,A,3940.336214,N,07827.326449,W,66.1,332.2,150117,0.0,E,D*3E::$GPGSA,A,3,10,12,14,15,18,20,21,24,25,27,31,32,1.2,0.9,0.8*3C::$GPGGA,182321,3940.336214,N,07827.326449,W,2,12,0.9,272.0,M,-42.0,M,,*75::$GPGSV,3,3,20,31,28,215,25,32,63,316,26,21,02,180,*4E::$GPVTG,332.2,T,332.2,M,66.1,N,122.4,K,D*12::$GLGSV,3,3,20,76,07,195,*5C";5910008;2017-01-15 13:23:20:739
